Method,gt,taxa,dup,ils,loss,Error
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0151515151515151
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0353535353535353
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0505050505050505
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0707070707070707
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0454545454545454
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0252525252525252
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0202020202020202
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0606060606060606
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0252525252525252
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.1313131313131313
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0353535353535353
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0353535353535353
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0252525252525252
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0303030303030303
wQFM-GDL-T,500,200,0.0,25.0,1.0,0.0151515151515151
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0808080808080808
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0454545454545454
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0252525252525252
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0606060606060606
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0656565656565656
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0454545454545454
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0808080808080808
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0505050505050505
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0252525252525252
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0404040404040404
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0404040404040404
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0202020202020202
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0404040404040404
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0303030303030303
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0202020202020202
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0303030303030303
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0404040404040404
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0454545454545454
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0505050505050505
wQFM-GDL-T,500,200,3.0,70.0,0.1,0.0404040404040404
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.110441767068273
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.0421686746987951
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.0341365461847389
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.038152610441767
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.0522088353413654
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.0321285140562249
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.0622489959839357
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.0461847389558232
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.0823293172690763
wQFM-GDL-T,500,500,1.0,70.0,0.1,0.0421686746987951
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.1244979919678714
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.0522088353413654
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.1526104417670682
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.0421686746987951
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.0522088353413654
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.0281124497991967
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.0562248995983935
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.0602409638554216
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.072289156626506
wQFM-GDL-T,500,500,0.25,70.0,0.1,0.0421686746987951
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.1044176706827309
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.07429718875502
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.0943775100401606
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.0441767068273092
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.0662650602409638
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.038152610441767
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.0823293172690763
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.0823293172690763
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.0502008032128514
wQFM-GDL-T,500,500,1.0,70.0,1.0,0.0542168674698795
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.1184738955823293
